query,tweet,username,time,url
Planning Vietnam trip,"Pernah beberapa bulan kerja di Vietnam terus kali ini balik lagi semingguan buat liburan.

Mau ngasi beberapa panduan singkat buat kalian yang sekiranya pengin ke Vietnam biar gak bingung.","Andre
@andreqve
·
Dec 28, 2024",2024-12-28T05:59:19.000Z,https://x.com/andreqve/status/1872885016310759584
Planning Vietnam trip,"11 places to add to your bucket list:

1. Vietnam, Ha Long Bay","Visual Guide
@VisualGuide_
·
Jul 4, 2022",2022-07-04T12:47:03.000Z,https://x.com/VisualGuide_/status/1543939446181171200
Planning Vietnam trip,"Last year I spent 54 days travelling Vietnam, Laos and Cambodia and spent ₹1,88,716. 

Here is the breakdown:
Vietnam- 33 days - 97,512
Laos- 13 days  - 29,958
Cambodia- 8 days - 18,522
 from Blore - 27k 
Visas-₹10,724
Extra-5k

All Vietnam details below
(1/n)","Aman Saxena | Travel Blogger
@storiesofraku
·
Apr 19, 2024",2024-04-19T15:27:52.000Z,https://x.com/storiesofraku/status/1781343968170590534
Planning Vietnam trip,"If Vietnam is on your 2025 bucket list, SAVE this 

We explored Hanoi, Sapa, Da Nang & Hoi An.

One of the best trips we’ve ever had 

Here’s the full itinerary with flights, hotels, the BEST FOOD & transport hacks","Dhanesh Gianani
@dhanesh500
·
Sep 21",2025-09-21T12:15:07.000Z,https://x.com/dhanesh500/status/1969737151815307284
Planning Vietnam trip,"I have been working from #Vietnam from the last 15 days 

Sharing some info for those planning to visit / work from here which could be useful. Just pointers. 

1. Download the Grab App for all your taxi + food delivery etc. Indian mobile + cards work seamless on the app 

2. All","Backpacking Daku
@outofofficedaku
·
Jun 20, 2024",2024-06-19T18:43:54.000Z,https://x.com/outofofficedaku/status/1803498962659451154
Planning Vietnam trip,"Vietnam Trip: 11 days with ₹1,00,000 INR 

I travelled to Vietnam in September 2025 and this is how you can plan your next vacation to experience Hanoi, Sapa, and Da Nang","Sumit Behal
@sumitkbehal
·
Sep 27",2025-09-27T08:04:10.000Z,https://x.com/sumitkbehal/status/1971848325629345977
Planning Vietnam trip,ow.ly/bOYt30eT0bV 8 amazing things to do and see in Vietnam #travel #vacation #Vietnam #traveltips,"Vee Dunford, MSc, BSN, Dip NT CNM
@proactivevee
·
Sep 5, 2017",2017-09-04T19:00:23.000Z,https://x.com/proactivevee/status/904781203588485120
Planning Vietnam trip,"Solo traveled to Vietnam with zero plans, chose just one city — Da Nang — and it turned out to be the most peaceful, soulful vacation I’ve ever had. Vietnam is vast, but you don’t need to race across the country, if you are on time constraint, then opt for Da Nang. Here's why","Kirubakaran Rajendran
@kirubaakaran
·
May 30",2025-05-30T08:21:15.000Z,https://x.com/kirubaakaran/status/1928366080629616653
Planning Vietnam trip,"7 Cheap Places to Travel to for vacation. Thread ! 

1. Hanoi, Vietnam ( Average Cost: $19.75/day)","Uncle Chu
@datchuguyy
·
Oct 8, 2022",2022-10-08T08:30:54.000Z,https://x.com/datchuguyy/status/1578664219607674881
Planning Vietnam trip,"6. Hoi An (6 days) 
Kind of touristy but still a slow beach town. Bike around the city (esp at night). Plenty of activities to do, I went for a cooking class @ red bridge. 
Don’t buy a lantern to make a wish on the boat ride, it all ends up in a huge pile of trash.

Contd.","Shweta
@DalekNo99
·
Jul 21, 2024",2024-07-21T13:31:30.000Z,https://x.com/DalekNo99/status/1815016754734833947
