query,tweet,username,time,url
Hoi An travel,"ASEAN Creators are arrived! 

As part of the 2025 ASEAN International Online Influencers' Tour in Hainan, Sanya is opening doors for infulencers to explore the unique culture, lifestyle, and warm tropical spirit here. 

Stay tuned for their moments that make Sanya unforgettable.","Visit Sanya
@VisitSanya
·
Dec 2",2025-12-02T11:31:00.000Z,https://x.com/VisitSanya/status/1995817974523994515
Hoi An travel,Hoi An is amazing! Definitely check out the Hoi A Memories show. The coconut boat ride was a trip though.,"Boydy73
@boydy_73
·
Dec 3",2025-12-03T15:13:34.000Z,https://x.com/boydy_73/status/1996236375713325357
Hoi An travel,"Took the Ho May Cable Car and enjoyed spectacular views of Vung Tau and of course, some coffee!","Mary
@KLdoubleM
·
Dec 1",2025-12-01T13:41:34.000Z,https://x.com/KLdoubleM/status/1995488446165692465
Hoi An travel,"Hi Assalamualaikum.
Nak share my trip last November. Sebelum pergi memang mostly rujuk this group je so here I am sharing my experience to help others too.

Northern Vietnam  
Hanoi - Sapa - Ninh Binh","Travel Jimat
@TravelJimat
·
Jan 29, 2024",2024-01-29T10:51:06.000Z,https://x.com/TravelJimat/status/1751920901820727347
Hoi An travel,"1. Hanoi (6 days) 
Hanoi is conveniently located to Sapa, Halong bay and Ninh Binh. I kept coming back to Hanoi to rest before leaving for the next place so overall stayed for 6 nights.

Contd.","Shweta
@DalekNo99
·
Jul 21, 2024",2024-07-21T13:31:08.000Z,https://x.com/DalekNo99/status/1815016662913229118
Hoi An travel,"A quiet moment in Hoi An, Vietnam.","Travolax | Travel for Less
@travolax
·
Nov 28",2025-11-27T23:50:04.000Z,https://x.com/travolax/status/1994192028314239334
Hoi An travel,"Annual trip ke Vietnam kali ini ke Saigon/Ho Chi Minh City. Rekomen buat yg cari destinasi easy + ready buat turis asing.

5D4N, total budget 6jutaan/pax

Tiket PP CGK-SGN 2.58jt
Akomodasi 1jt+ (dah fancy)
3 jenis tour lokal 1.6jt
Transport lokal 200rb
Sisanya makan & jajan deh","ALIRA
@aliralira
·
Jan 29, 2024",2024-01-29T16:53:40.000Z,https://x.com/aliralira/status/1752012143208407302
Hoi An travel,"Ready to explore the beauty of Trips Vietnam? Discover stunning landscapes, vibrant cities, rich culture, and unforgettable local experiences. Book your dream Vietnam trip today and start your adventure!
saolatours.com/top-15-best-tr
…
#TripsVietnam #VietnamTravel #TravelAsia #SaoLaTours","Sao La Vietnam Tours
@vietnamtravel20
·
Dec 7",2025-12-07T16:37:59.000Z,https://x.com/vietnamtravel20/status/1997707170197143601
Hoi An travel,"Hanoi Train Street
A must do tourist trap","Riya Suman
@IRiyaSuman
·
Jun 15",2025-06-15T07:19:44.000Z,https://x.com/IRiyaSuman/status/1934148805932503429
Hoi An travel,An interesting visit to “Hanoi Hilton” Hoa Lo Prison today.,"Hannah : HH Lifestyle Travel
@HHLifestyleTrav
·
Dec 6",2025-12-06T04:04:45.000Z,https://x.com/HHLifestyleTrav/status/1997155223648063838
