Topic,Count,Name,Representation,Representative_Docs
-1,1931,-1_vietnam_the_in_to,"['vietnam', 'the', 'in', 'to', 'and', 'of', 'is', 'for', 'from', 'with']","['This vacation, Vietnam is amazing place to visit, thank you for giving a memorable experience.. it might be the best trip for me Where to next???', 'Back in Hoi An Vietnam for the first time in 10 years.', 'For the first time travel to vietnam, where should I start? Hanoi or Ho Chi Minh?']"
0,617,0_vietnam_in_the_love,"['vietnam', 'in', 'the', 'love', 'was', 'and', 'war', 'to', 'my', 'fell']","['Fell in love with it when I went to Vietnam.', 'i fell in love with Vietnam and the people there.', 'I fell in love with Vietnam when I was there.']"
1,482,1_food_vietnamese_and_of,"['food', 'vietnamese', 'and', 'of', 'in', 'pho', 'banh', 'is', 'the', 'vietnam']","['To start exploring Vietnamese cuisine, try Pho noodle soup , Banh Mi sandwich , Goi Cuon spring rolls , and Bun Cha grilled pork with noodles .', 'If there s any mention of Vietnamese food in my vicinity trust I m Gonna Say It..........got kicked out of the Vietnamese restaurant.... they banh mi pho life ...', 'Vietnamese food.']"
2,269,2_thailand_vietnam_tourism_and,"['thailand', 'vietnam', 'tourism', 'and', 'list', 'bucket', 'to', 'my', 'in', 'travel']","['Vietnam is on my bucket list', 'vietnam is on my bucket list.', 'Thailand and Vietnam are high on my travel list.']"
3,253,3_vietnam_to_trip_planning,"['vietnam', 'to', 'trip', 'planning', 'travel', 'in', 'visiting', 'for', 'and', 'is']","['Planning a trip to Vietnam?', 'Planning a trip to Vietnam ?', 'Planning a trip to Vietnam.']"
4,205,4_nang_da_in_bridge,"['nang', 'da', 'in', 'bridge', 'the', 'to', 'vietnam', 'and', 'travel', 'for']","['This is my office in Da Nang, Vietnam. If you re planning a trip to Da Nang, let me know!', 'This is Da Nang, Vietnam.', 'I have been in Da Nang in Vietnam. Da Nang is worth visiting.']"
5,153,5_hanoi_the_in_to,"['hanoi', 'the', 'in', 'to', 'of', 'capital', 'and', 'vietnam', 'city', 'on']","['Yes started in Saigon, Phu Quoc and then Hanoi. We did go to the Ha Long Bay from Hanoi it s very close. Whatever cruise you go on will pick you up in Hanoi and bring you back.', 'Hanoi to Sapa...', 'Hanoi City Tour']"
6,145,6_phu_quoc_island_resort,"['phu', 'quoc', 'island', 'resort', 'hotel', 'review', 'in', 'the', 'com', 'at']","['A colorful travel experience in Phu Quoc island', 'JW Marriott Phu Quoc Emerald Bay Resort Spa The best hotel resort for your dream vacation Phu Quoc Vietnam Review here bit.ly 3YY53mB', 'Phu Quoc, Vietnam']"
7,138,7_the_mekong_vietnam_and,"['the', 'mekong', 'vietnam', 'and', 'of', 'to', 'experience', 'delta', 'in', 'culture']","['If you re dreaming of a luxurious and immersive experience in Southeast Asia, a Mekong River cruise between Vietnam and Cambodia is the perfe t way to explore the region s rich culture, history, and landscapes in comfort. vietexquisitetravel.com travel news to p 9 luxury mekong river cruises to vietnam and cambodia 2025 2026', 'Journey through the Mekong Delta Vietnam s river of life, where floating markets, lush waterways, and vibrant local culture create an unforgettable experience auasiatravel.com destinations v ietnam can tho mekong delta', 'Discover the beauty of Vietnam! From the breathtaking limestone karsts of Ha Long Bay to the lantern lit streets of Hoi An , the bustling energy of Hanoi , and the stunning rice terraces of Sapa Vietnam has it all!']"
8,134,8_bay_halong_long_ha,"['bay', 'halong', 'long', 'ha', 'cruise', 'com', 'of', 'the', 'in', 'to']","['Halong Bay is one of the most popular tourist attractions in Vietnam but is it all it s cracked up to be? Find out is Halong Bay worth visiting in our latest blog post amazingtripideas.com is halong bay', 'Vietnam, Ha Long Bay', 'Halong Bay, Vietnam 4. Sapa, Vietnam 6.']"
