query,tweet,username,time,url
Vietnam bucket list,Hoi An is amazing! Definitely check out the Hoi A Memories show. The coconut boat ride was a trip though.,"Boydy73
@boydy_73
·
Dec 3",2025-12-03T15:13:34.000Z,https://x.com/boydy_73/status/1996236375713325357
Vietnam bucket list,"Some Places to Visit once in a lifetime.

1. Lan Ha Bay, Cat Ba Island, Vietnam","Earth_Wanderer
@earth_tracker
·
Jun 22",2025-06-22T06:20:37.000Z,https://x.com/earth_tracker/status/1936670643266916725
Vietnam bucket list,"11 places to add to your bucket list:

1. Vietnam, Ha Long Bay","Visual Guide
@VisualGuide_
·
Jul 4, 2022",2022-07-04T12:47:03.000Z,https://x.com/VisualGuide_/status/1543939446181171200
Vietnam bucket list,"Aku rasa ini trip solo paling adventure sebab, berpeluang ride motocross sejauh 350km & 4 hari di sempadan Vietnam & China dengan permandangan tercantik. Kos semua (flight, sewa motor) sekitar, 3k ringgit.
 Ha Giang loop, Vietnam.","Azreen Yunus
@azreenyunus10
·
Oct 31, 2022",2022-10-31T06:37:19.000Z,https://x.com/azreenyunus10/status/1586970554434981888
Vietnam bucket list,"In the north of the Vietnamese island known as Phu Quoc you van visit one of the most beautiful zoos on Earth. Even though animals belong to the wild and should thrive in their natural environment, this zoo and it's inhabitants are worth exploring!

#SaveSoil #ConsciousPlanet","Guzel
@GuzelKham
·
Dec 6",2025-12-06T16:46:29.000Z,https://x.com/GuzelKham/status/1997346921573433495
Vietnam bucket list,"15 Places to Visit once in a lifetime.

1. Experience the breathtaking beauty of Vietnam, Nho Que River in Ha Giang Province.","Lost Temples™
@LostTemple7
·
Jun 19",2025-06-19T04:58:48.000Z,https://x.com/LostTemple7/status/1935562890573951132
Vietnam bucket list,"Vietnam was my dream destination since I was a kid and I've only just begun to look through my photos but look at this place man.

 Unbelievable country, the people, the nature, the food, unlike anywhere I've ever been and I can't wait to go back.","Kyle
@KBensonJpg
·
Dec 6",2025-12-06T00:14:01.000Z,https://x.com/KBensonJpg/status/1997097156843282598
Vietnam bucket list,ow.ly/bOYt30eT0bV 8 amazing things to do and see in Vietnam #travel #vacation #Vietnam #traveltips,"Vee Dunford, MSc, BSN, Dip NT CNM
@proactivevee
·
Sep 5, 2017",2017-09-04T19:00:23.000Z,https://x.com/proactivevee/status/904781203588485120
Vietnam bucket list,"First time Malaysia match
First competitive match
First win
Arif Aiman masterclass
Ultras Malaya mantap
End 11 years winless run vs Vietnam
Humbled Vietnam by 4 clear goals 

A lot of bucket list ticked","David Moist Nana
@devils_asian
·
Jun 10",2025-06-10T16:20:17.000Z,https://x.com/devils_asian/status/1932472901548323216
Vietnam bucket list,"Solo traveled to Vietnam with zero plans, chose just one city — Da Nang — and it turned out to be the most peaceful, soulful vacation I’ve ever had. Vietnam is vast, but you don’t need to race across the country, if you are on time constraint, then opt for Da Nang. Here's why","Kirubakaran Rajendran
@kirubaakaran
·
May 30",2025-05-30T08:21:15.000Z,https://x.com/kirubaakaran/status/1928366080629616653
